transect,old_tag,new_tag,species,status93,status13,status22,diam93,rad1993,cross1993,basal_area_1993,diam13,rad2013,cross2013,basal_area_2013,diam22,rad2022,cross2022,basal_area_2022
D,4,,Pterophylla sylvicola,A,A,A,9.2,4.6,0.664761005,7.386233394,9.65,4.825,0.731382405,8.126471163,10.9,5.45,0.933131558,10.36812842
C,4,,Pterophylla sylvicola,,A,A,,0,0,0,8,4,0.502654825,5.585053606,8.3,4.15,0.541060795,6.011786608
D,5,A8412,Pterophylla sylvicola,A,A,A,5.9,2.95,0.273397101,3.037745563,5.9,2.95,0.273397101,3.037745563,5.3,2.65,0.220618344,2.451314934
D,5,A8431,Pterophylla sylvicola,A,A,A,10.5,5.25,0.865901475,9.621127502,12.3,6.15,1.188228881,13.20254313,12.4,6.2,1.207628216,13.41809129
D,5,A8533,Pterophylla sylvicola,A,A,A,6.9,3.45,0.373928066,4.154756284,6.9,3.45,0.373928066,4.154756284,6.3,3.15,0.311724531,3.463605901
C,5,A8650,Pterophylla sylvicola,A,A,A,16,8,2.010619298,22.34021443,17.5,8.75,2.405281875,26.72535417,18.3,9.15,2.630219909,29.22466566
C,5,A8721,Pterophylla sylvicola,,A,A,,0,0,0,7,3.5,0.3848451,4.276056667,7,3.5,0.3848451,4.276056667
D,6,A8042,Pterophylla sylvicola,A,A,A,11.4,5.7,1.020703453,11.34114948,11.5,5.75,1.038689071,11.54098968,11.4,5.7,1.020703453,11.34114948
D,6,A8429,Pterophylla sylvicola,A,A,A,7.1,3.55,0.395919214,4.39910238,7.1,3.55,0.395919214,4.39910238,7,3.5,0.3848451,4.276056667
D,6,A8534,Pterophylla sylvicola,A,A,A,8.5,4.25,0.567450173,6.305001923,8.5,4.25,0.567450173,6.305001923,8.5,4.25,0.567450173,6.305001923
D,6,A8767,Pterophylla sylvicola,A,A,D,5.8,2.9,0.264207942,2.935643802,6.4,3.2,0.321699088,3.574434308,,0,0,0
D,7,A8404,Pterophylla sylvicola,A,A,A,7.5,3.75,0.441786467,4.908738521,8.25,4.125,0.534561625,5.939573611,9,4.5,0.636172512,7.068583471
D,7,A8430,Pterophylla sylvicola,A,A,A,13.8,6.9,1.495712262,16.61902514,21.25,10.625,3.546563582,39.40626202,22.4,11.2,3.940813825,43.78682027
D,7,A8686,Pterophylla sylvicola,A,A,D,9.9,4.95,0.76976874,8.552985999,10.3,5.15,0.833228912,9.258099017,,0,0,0
D,7,A8691,Pterophylla sylvicola,,A,A,,0,0,0,10.3,5.15,0.833228912,9.258099017,10.5,5.25,0.865901475,9.621127502
C,7,A8768,Pterophylla sylvicola,,A,A,,0,0,0,5.4,2.7,0.229022104,2.544690049,5.5,2.75,0.237582944,2.639810494
C,8,A8260,Pterophylla sylvicola,A,A,A,6.25,3.125,0.306796158,3.408846195,6.5,3.25,0.331830724,3.687008045,7,3.5,0.3848451,4.276056667
C,8,A8435,Pterophylla sylvicola,,A,A,,0,0,0,17,8.5,2.269800692,25.22000769,17.6,8.8,2.432849351,27.03165945
C,8,A8542,Pterophylla sylvicola,,A,A,,0,0,0,17.3,8.65,2.350618163,26.11797959,18.1,9.05,2.573042923,28.58936581
D,8,A8667,Pterophylla sylvicola,,A,A,,0,0,0,13.6,6.8,1.452672443,16.14080492,13.3,6.65,1.389290811,15.43656457
D,8,A8713,Pterophylla sylvicola,A,A,A,10.7,5.35,0.899202357,9.991137303,17.2,8.6,2.323521927,25.8169103,8.8,4.4,0.608212338,6.757914864
D,8,A8740,Pterophylla sylvicola,A,A,A,10.6,5.3,0.882473376,9.805259738,11.1,5.55,0.967689077,10.75210086,10,5,0.785398163,8.72664626
C,9,A8411,Pterophylla sylvicola,A,A,A,9.6,4.8,0.723822947,8.042477193,9.6,4.8,0.723822947,8.042477193,9.6,4.8,0.723822947,8.042477193
D,9,A8423,Pterophylla sylvicola,A,A,A,11.4,5.7,1.020703453,11.34114948,12.8,6.4,1.286796351,14.29773723,11.8,5.9,1.093588403,12.15098225
D,9,A8555,Pterophylla sylvicola,A,A,A,11.4,5.7,1.020703453,11.34114948,13.4,6.7,1.410260942,15.66956602,13,6.5,1.327322896,14.74803218
D,9,A8668,Pterophylla sylvicola,A,A,A,16.9,8.45,2.243175694,24.92417438,18.2,9.1,2.601552876,28.90614307,17.3,8.65,2.350618163,26.11797959
D,9,A8724,Pterophylla sylvicola,,A,D,,0,0,0,22.5,11.25,3.976078202,44.17864669,,0,0,0
D,9,A8743,Pterophylla sylvicola,A,A,A,13.1,6.55,1.347821788,14.97579765,14.4,7.2,1.628601632,18.09557368,15.4,7.7,1.862650284,20.69611427
C,10,A8401,Pterophylla sylvicola,,A,A,,0,0,0,8,4,0.502654825,5.585053606,7.9,3.95,0.490166994,5.446299931
D,10,A8562,Pterophylla sylvicola,A,A,D,5.1,2.55,0.204282062,2.269800692,5.15,2.575,0.208307228,2.314524754,,0,0,0
D,10,A8683,Pterophylla sylvicola,A,A,A,7.1,3.55,0.395919214,4.39910238,7.6,3.8,0.453645979,5.04051088,7.5,3.75,0.441786467,4.908738521
C,10,A8716,Pterophylla sylvicola,,A,A,,0,0,0,19,9.5,2.83528737,31.503193,21.2,10.6,3.529893506,39.22103895
C,10,,Pterophylla sylvicola,A,A,A,8.7,4.35,0.59446787,6.605198554,9,4.5,0.636172512,7.068583471,8.6,4.3,0.580880482,6.454227574
D,11,A8434?,Pterophylla sylvicola,A,A,D,10.5,5.25,0.865901475,9.621127502,10.2,5.1,0.817128249,9.079202769,,0,0,0
C,11,A8548,Pterophylla sylvicola,A,A,A,9.7,4.85,0.738981132,8.210901466,10.1,5.05,0.801184666,8.90205185,10.6,5.3,0.882473376,9.805259738
C,11,A8722,Pterophylla sylvicola,A,A,A,9,4.5,0.636172512,7.068583471,9.5,4.75,0.708821842,7.87579825,9.4,4.7,0.693977817,7.710864635
D,11,,Pterophylla sylvicola,A,A,D,11,5.5,0.950331778,10.55924197,10.7,5.35,0.899202357,9.991137303,,0,0,0
C,12,A8185,Pterophylla sylvicola,,A,A,,0,0,0,10.5,5.25,0.865901475,9.621127502,10.8,5.4,0.916088418,10.1787602
